id_comportamientos,rasgo_temperamento,especie,manejo_recomendado
34,Persistencia / Tenacidad,Gato,"Ofrecer retos mentales (puzzles, juegos de comida). En hospital, mantener ocupación para reducir estrés por encierro."
35,Inseguridad / Inestabilidad emocional,Gato,"Evitar cambios bruscos en entorno. En estética, trabajar con paciencia y permitir pausas para que se tranquilice."
36,Sociabilidad hacia extraños vs familiares,Gato,"Presentar nuevas personas de forma gradual. En hotel, dejar que se acerque cuando esté listo en vez de forzar contacto."
37,Comportamientos relacionados con separación,Gato,"Preparar enriquecimiento ambiental antes de dejarlo solo (juguetes con comida, lugares altos). En hoteles, mantener rutinas parecidas a las de casa."
38,Ruido / Sensibilidad auditiva,Gato,"Mantener un ambiente tranquilo, lejos de ruidos fuertes. En clínica u hospital, colocar en un espacio aislado del bullicio."
39,Sociabilidad / Amistoso,Ave,"Aves sociales (pericos, canarios) necesitan compañía, interacción con humanos o con otras aves. En hoteles, mantenerlas en jaulas cerca de otras aves para evitar soledad."
40,Excitabilidad / Alta Energía,Ave,"Ofrecer tiempo de vuelo controlado (en casa o aviario seguro). En clínica, manipular con movimientos suaves y rápidos para evitar estrés."
41,Miedoso / Ansioso,Ave,"Evitar ruidos fuertes y movimientos bruscos. En clínica, cubrir la jaula con una manta ligera para dar seguridad."
42,Agresividad (picoteo),Ave,"No manipular sin entrenamiento previo. Usar guantes suaves en clínica. En hoteles, mantenerlas separadas de aves con temperamentos distintos."
43,Dominancia / Territorialidad,Ave,Respetar su espacio (jaula/nido). No introducir aves nuevas de golpe en la misma jaula.
44,Curiosidad / Exploración,Ave,"Proveer juguetes de madera, campanas o ramas naturales. En hoteles, enriquecer jaulas con columpios y perchas."
45,Capacidad de entrenamiento / Obediencia,Ave,"Entrenar con refuerzo positivo (premios, semillas). En clínica, facilitar revisiones enseñando a subirse a la mano o palo."
46,Sensibilidad al tacto,Ave,"Muchas aves no disfrutan caricias. En estética (baño o corte de plumas), manipular con toallas suaves para inmovilizar sin lastimar."
47,Ruido / Sensibilidad auditiva,Ave,"Evitar ambientes con ladridos o tráfico. En hoteles, mantenerlas en áreas tranquilas y con luz natural."
48,Apego al dueño,Ave,"Algunas aves desarrollan lazos fuertes (loros, pericos). En ausencia, se recomienda enriquecimiento (juguetes, espejos)."
49,Docilidad / Amistoso,Reptil,"Muchos reptiles no buscan contacto humano, pero toleran manipulación breve. En clínicas, manipular solo lo necesario para evitar estrés."
50,Inactividad / Baja energía,Reptil,"Pasan mucho tiempo quietos (ej. tortugas). En hoteles, asegurar espacio limpio y temperatura adecuada más que interacción."
51,Miedoso / Ansioso (defensivo),Reptil,"Reptiles pueden retraerse, bufar o agitar la cola. Evitar manipulación excesiva. En clínica, manipular en superficies seguras y cálidas."
52,Agresividad (mordida o coletazo),Reptil,Usar guantes de seguridad si es necesario. Nunca forzar contacto. Mantener en terrarios separados en hoteles.
53,Curiosidad / Exploración,Reptil,"Reptiles suelen explorar su entorno lentamente. En casa y hoteles, ofrecer troncos, cuevas y espacios donde esconderse."
54,Tolerancia al tacto,Reptil,"Poca tolerancia. Evitar manipulación innecesaria en estética (baños, limpieza). En clínicas, manipular con firmeza pero suavidad."
55,Dependencia ambiental,Reptil,"Su bienestar depende de temperatura, humedad y luz. En hoteles y clínicas, asegurar terrarios con parámetros adecuados."
56,Reactividad al ruido y movimiento,Reptil,"No perciben sonidos como mamíferos, pero reaccionan a vibraciones. Mantener en lugares tranquilos sin sobresaltos."
56,Apego al dueño,Reptil,"No desarrollan apego emocional como perros o gatos. En hoteles, se recomienda más control ambiental que interacción humana."
